iter	Passed	Remaining
0	138	138426
1	143	71832
2	149	49708
3	155	38780
4	161	32126
5	165	27485
6	172	24421
7	177	22054
8	183	20236
9	189	18743
10	191	17250
11	197	16219
12	200	15198
13	205	14461
14	210	13790
15	215	13229
16	220	12735
17	223	12193
18	228	11799
19	233	11459
20	238	11122
21	242	10781
22	247	10499
23	250	10203
24	256	9988
25	260	9752
26	263	9502
27	267	9278
28	271	9077
29	275	8898
30	278	8715
31	282	8535
32	285	8367
33	288	8201
34	291	8045
35	294	7891
36	297	7750
37	300	7617
38	303	7483
39	306	7352
40	309	7229
41	311	7108
42	314	6996
43	317	6888
44	320	6796
45	322	6696
46	325	6601
47	328	6514
48	330	6421
49	333	6341
50	336	6260
51	339	6186
52	341	6109
53	343	6021
54	346	5948
55	348	5880
56	351	5817
57	354	5755
58	357	5697
59	360	5641
60	362	5585
61	365	5532
62	368	5481
63	371	5430
64	373	5376
65	376	5329
66	379	5282
67	382	5238
68	385	5196
69	388	5156
70	390	5115
71	393	5072
72	396	5032
73	399	4993
74	401	4956
75	404	4923
76	408	4891
77	411	4858
78	413	4821
79	416	4789
80	419	4755
81	421	4720
82	424	4689
83	427	4661
84	430	4632
85	433	4603
86	435	4575
87	438	4545
88	441	4519
89	444	4490
90	446	4464
91	449	4436
92	451	4406
93	454	4380
94	457	4358
95	460	4334
96	463	4312
97	465	4288
98	468	4265
99	471	4242
100	474	4220
101	477	4201
102	479	4179
103	482	4158
104	485	4140
105	488	4119
106	491	4099
107	493	4079
108	496	4061
109	499	4042
110	502	4022
111	505	4004
112	508	3987
113	510	3967
114	513	3952
115	516	3936
116	519	3919
117	522	3903
118	524	3885
119	527	3868
120	530	3852
121	533	3836
122	535	3817
123	538	3804
124	541	3788
125	543	3771
126	546	3758
127	549	3745
128	552	3729
129	554	3712
130	557	3698
131	560	3682
132	562	3667
133	565	3654
134	568	3640
135	570	3625
136	573	3609
137	575	3595
138	578	3581
139	581	3569
140	583	3554
141	586	3540
142	588	3527
143	591	3514
144	593	3500
145	596	3488
146	599	3475
147	601	3464
148	604	3452
149	607	3440
150	609	3427
151	612	3415
152	614	3403
153	617	3389
154	619	3377
155	622	3365
156	625	3356
157	627	3344
158	630	3333
159	632	3321
160	635	3309
161	637	3299
162	640	3289
163	643	3277
164	645	3267
165	648	3256
166	650	3246
167	653	3237
168	656	3227
169	658	3216
170	661	3206
171	663	3196
172	666	3185
173	668	3175
174	671	3164
175	673	3155
176	676	3146
177	679	3138
178	681	3127
179	684	3118
180	687	3109
181	689	3099
182	692	3090
183	694	3081
184	697	3072
185	700	3063
186	702	3054
187	705	3046
188	707	3036
189	710	3027
190	712	3018
191	715	3010
192	717	3001
193	720	2992
194	723	2984
195	725	2976
196	728	2969
197	730	2960
198	733	2952
199	735	2943
200	738	2934
201	755	2986
202	759	2983
203	763	2978
204	767	2975
205	771	2971
206	774	2968
207	778	2963
208	781	2959
209	786	2956
210	790	2957
211	794	2953
212	797	2948
213	801	2943
214	804	2938
215	807	2931
216	811	2926
217	813	2919
218	816	2912
219	819	2905
220	822	2898
221	825	2892
222	827	2884
223	830	2877
224	833	2870
225	836	2863
226	838	2856
227	841	2849
228	843	2841
229	846	2834
230	853	2841
231	857	2838
232	861	2835
233	865	2833
234	869	2831
235	873	2828
236	894	2878
237	896	2871
238	899	2865
239	903	2860
240	906	2853
241	909	2849
242	912	2842
243	915	2835
244	917	2828
245	920	2821
246	923	2814
247	925	2807
248	928	2800
249	931	2793
250	933	2784
251	935	2776
252	937	2769
253	940	2761
254	942	2754
255	945	2747
256	947	2740
257	950	2733
258	952	2725
259	955	2718
260	957	2710
261	959	2703
262	962	2696
263	964	2688
264	966	2681
265	969	2675
266	972	2669
267	974	2662
268	977	2655
269	979	2649
270	982	2642
271	984	2636
272	987	2629
273	989	2623
274	992	2615
275	994	2608
276	996	2601
277	999	2595
278	1001	2588
279	1004	2582
280	1006	2575
281	1009	2569
282	1011	2563
283	1014	2557
284	1017	2551
285	1019	2545
286	1022	2539
287	1024	2533
288	1027	2527
289	1029	2521
290	1032	2515
291	1034	2509
292	1037	2502
293	1039	2496
294	1042	2490
295	1045	2485
296	1047	2479
297	1049	2473
298	1052	2467
299	1054	2461
300	1057	2454
301	1059	2449
302	1062	2443
303	1064	2437
304	1067	2432
305	1069	2426
306	1072	2420
307	1074	2414
308	1077	2408
309	1079	2403
310	1082	2397
311	1084	2391
312	1086	2385
313	1089	2379
314	1091	2374
315	1094	2369
316	1097	2363
317	1099	2357
318	1101	2352
319	1104	2346
320	1106	2340
321	1109	2335
322	1111	2329
323	1113	2323
324	1116	2318
325	1118	2312
326	1120	2307
327	1123	2301
328	1125	2296
329	1128	2290
330	1130	2285
331	1133	2280
332	1135	2274
333	1138	2269
334	1140	2264
335	1142	2258
336	1145	2253
337	1148	2248
338	1150	2243
339	1152	2238
340	1155	2233
341	1158	2228
342	1160	2222
343	1162	2217
344	1165	2212
345	1167	2207
346	1170	2202
347	1172	2197
348	1175	2191
349	1177	2187
350	1180	2182
351	1182	2177
352	1185	2172
353	1187	2167
354	1190	2162
355	1192	2157
356	1195	2152
357	1197	2147
358	1200	2142
359	1202	2137
360	1205	2133
361	1207	2128
362	1210	2123
363	1212	2118
364	1214	2113
365	1217	2108
366	1219	2103
367	1222	2099
368	1224	2094
369	1227	2089
370	1229	2084
371	1231	2079
372	1234	2074
